Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Date,,,,,
2000-09-01,273.6000061035156,278.3999938964844,269.0,277.0,4291
2000-11-01,270.1000061035156,270.20001220703125,263.8999938964844,263.8999938964844,32465
2000-12-01,272.0,276.0,268.0,269.70001220703125,1664
2001-01-01,265.6000061035156,268.3999938964844,262.79998779296875,268.3999938964844,17811
2001-02-01,266.79998779296875,268.8999938964844,255.0,266.29998779296875,1066
2001-03-01,257.8999938964844,271.6000061035156,256.6000061035156,265.20001220703125,31161
2001-05-01,265.29998779296875,287.3999938964844,264.20001220703125,264.3999938964844,32850
2001-06-01,270.6000061035156,277.0,264.5,264.70001220703125,1350
2001-08-01,274.3999938964844,279.29998779296875,265.79998779296875,266.20001220703125,1817
2001-09-01,292.3999938964844,294.0,271.6000061035156,271.6000061035156,3137
2001-10-01,279.5,292.8999938964844,275.5,291.79998779296875,893
2001-11-01,273.8999938964844,281.0,272.29998779296875,279.70001220703125,27949
2001-12-01,278.70001220703125,281.29998779296875,271.20001220703125,273.5,2157
2002-01-01,282.1000061035156,287.3999938964844,278.1000061035156,278.8999938964844,28613
2002-02-01,296.70001220703125,308.0,282.20001220703125,282.29998779296875,3964
2002-03-01,302.6000061035156,304.5,289.8999938964844,298.0,29465
2002-04-01,308.8999938964844,312.5,297.5,302.6000061035156,2226
2002-05-01,326.5,329.0,306.79998779296875,309.1000061035156,29743
2002-06-01,313.5,330.29998779296875,313.5,326.6000061035156,5817
2002-07-01,303.20001220703125,323.8999938964844,300.79998779296875,314.0,28530
2002-08-01,312.3999938964844,318.0,298.0,303.20001220703125,3256
2002-10-01,318.0,322.8999938964844,309.79998779296875,322.0,3849
2002-11-01,316.79998779296875,324.5,316.5,318.79998779296875,54551
2003-01-01,368.29998779296875,372.0,345.20001220703125,346.1000061035156,8298
2003-02-01,350.20001220703125,388.8999938964844,342.0,368.0,6928
2003-03-01,335.8999938964844,356.79998779296875,326.0,349.20001220703125,6100
2003-04-01,339.1000061035156,338.3999938964844,319.29998779296875,336.0,3097
2003-05-01,364.5,370.0,339.0,339.0,164025
2003-07-01,354.0,364.79998779296875,342.1000061035156,351.3999938964844,86330
2003-08-01,375.70001220703125,375.0,346.0,354.1000061035156,5743
2003-09-01,385.3999938964844,388.70001220703125,372.8999938964844,375.0,16207
2003-10-01,384.5,394.0,368.0,385.5,3594
2003-11-01,396.79998779296875,402.0,377.0,382.79998779296875,165003
2003-12-01,415.70001220703125,417.20001220703125,397.0,397.20001220703125,10267
2004-01-01,402.20001220703125,428.20001220703125,396.5,415.70001220703125,132663
2004-03-01,427.29998779296875,428.0,391.1000061035156,396.3999938964844,105746
2004-04-01,387.0,432.0,380.0,427.20001220703125,6579
2004-05-01,394.0,396.29998779296875,375.79998779296875,387.0,144835
2004-06-01,392.6000061035156,405.0,383.0,393.8999938964844,6207
2004-07-01,391.0,408.1000061035156,385.0,396.0,116575
2004-09-01,418.70001220703125,418.79998779296875,396.79998779296875,407.29998779296875,16144
2004-10-01,428.5,430.0,410.29998779296875,419.1000061035156,2646
2004-11-01,451.29998779296875,454.79998779296875,424.6000061035156,427.29998779296875,183608
2004-12-01,437.5,456.5,432.6000061035156,451.6000061035156,12728
2005-01-01,421.79998779296875,431.0,418.70001220703125,431.0,115342
2005-02-01,436.5,436.0,410.1000061035156,422.20001220703125,8468
2005-03-01,428.70001220703125,446.3999938964844,424.70001220703125,435.0,3171
2005-04-01,435.0,438.20001220703125,422.70001220703125,428.29998779296875,2579
2005-06-01,435.8999938964844,442.5,414.0,416.3999938964844,6950
2005-07-01,429.8999938964844,430.5,419.6000061035156,427.79998779296875,44574
2005-08-01,433.79998779296875,449.5,429.1000061035156,430.0,3085
2005-09-01,469.0,474.0,438.5,438.5,11805
2005-10-01,465.1000061035156,478.5,460.5,467.79998779296875,2106
2005-11-01,494.6000061035156,502.29998779296875,455.29998779296875,463.0,157642
2005-12-01,517.0999755859375,538.5,490.1000061035156,494.20001220703125,12240
2006-02-01,561.5999755859375,575.2999877929688,535.5,570.7999877929688,10165
2006-03-01,581.7999877929688,589.5999755859375,539.9000244140625,562.5,94801
2006-04-01,651.7999877929688,651.7999877929688,582.0,582.0,8121
2006-05-01,642.5,723.0,637.0,658.0,137161
2006-06-01,613.5,645.0999755859375,555.0,642.7999877929688,6197
2006-07-01,634.2000122070312,677.0,612.7000122070312,631.0,99344
2006-08-01,625.9000244140625,656.0,609.0,635.4000244140625,4608
2006-09-01,598.5999755859375,638.5,576.4000244140625,624.4000244140625,17592
2006-11-01,646.9000244140625,648.0,612.5,612.5,114115
2006-12-01,635.2000122070312,649.7000122070312,612.0,645.7000122070312,3823
2007-01-01,652.0,655.5,607.0,635.2000122070312,101525
2007-02-01,669.4000244140625,687.7000122070312,642.0,652.9000244140625,3981
2007-03-01,663.0,673.0,640.0,673.0,52996
2007-05-01,661.0,688.0,651.0,673.7000122070312,158741
2007-06-01,648.0999755859375,674.0,640.0,661.5,4027
2007-08-01,673.0,676.2000122070312,642.9000244140625,663.2000122070312,8547
2007-09-01,742.7999877929688,745.7000122070312,672.5,672.5,27393
2007-10-01,792.0,795.4000244140625,724.2999877929688,745.0999755859375,2720
2007-11-01,782.2000122070312,841.2999877929688,777.5999755859375,785.2999877929688,239351
2007-12-01,834.9000244140625,843.2000122070312,777.0,783.9000244140625,7681
2008-01-01,922.7000122070312,936.2999877929688,846.4000244140625,848.7000122070312,231851
2008-02-01,972.0999755859375,973.0999755859375,884.7000122070312,924.7999877929688,8233
2008-03-01,916.2000122070312,1014.5999755859375,912.0,984.2000122070312,216432
2008-04-01,862.7999877929688,948.7000122070312,863.0,915.0,13006
2008-05-01,887.2999877929688,925.5999755859375,849.5999755859375,855.0,221797
2008-07-01,913.9000244140625,986.2000122070312,893.2999877929688,943.5999755859375,250610
2008-08-01,829.2999877929688,916.0999755859375,780.9000244140625,904.9000244140625,9253
2008-09-01,874.2000122070312,919.0,739.0,829.9000244140625,18800
2008-10-01,716.7999877929688,925.7000122070312,681.0,878.0,3365
2008-11-01,816.2000122070312,824.0,707.0,728.7999877929688,377779
2008-12-01,883.5999755859375,883.5999755859375,740.0,817.2000122070312,9599
2009-01-01,927.2999877929688,930.2999877929688,805.5999755859375,881.5,215420
2009-04-01,890.7000122070312,932.5,865.0,918.5999755859375,17300
2009-05-01,978.7999877929688,980.4000244140625,881.5,884.0,234559
2009-06-01,927.0999755859375,990.2999877929688,917.2999877929688,978.7999877929688,12773
2009-07-01,953.7000122070312,958.0999755859375,905.5999755859375,929.2999877929688,177420
2009-08-01,951.7000122070312,971.0999755859375,931.5,952.5999755859375,7492
2009-09-01,1008.0,1019.7999877929688,948.7000122070312,954.2000122070312,15642
2009-10-01,1039.699951171875,1070.199951171875,986.7999877929688,1007.4000244140625,3699
2009-12-01,1095.199951171875,1226.4000244140625,1075.0,1181.0,24177
2010-01-01,1083.0,1161.199951171875,1073.199951171875,1117.699951171875,320664
2010-02-01,1118.300048828125,1127.4000244140625,1045.199951171875,1081.0,18209
2010-03-01,1113.300048828125,1145.0,1085.5,1119.300048828125,222583
2010-04-01,1180.0999755859375,1181.300048828125,1111.300048828125,1125.0999755859375,10917
2010-05-01,1212.199951171875,1246.5,1159.199951171875,1178.5999755859375,361661
2010-06-01,1245.5,1264.800048828125,1196.9000244140625,1224.800048828125,16703
2010-07-01,1181.699951171875,1242.4000244140625,1158.0,1206.300048828125,267525
2010-09-01,1307.800048828125,1315.199951171875,1240.0,1246.300048828125,33200
2010-10-01,1357.0999755859375,1383.9000244140625,1309.0,1309.0,3190
2010-11-01,1385.0,1423.199951171875,1327.5,1360.300048828125,245327
2010-12-01,1421.0999755859375,1431.0999755859375,1362.5,1386.800048828125,16511
2011-01-01,1333.800048828125,1423.9000244140625,1307.699951171875,1415.5999755859375,299379
2011-02-01,1409.300048828125,1415.699951171875,1324.9000244140625,1333.0999755859375,14468
2011-03-01,1438.9000244140625,1446.9000244140625,1385.5,1415.300048828125,194338
2011-04-01,1556.0,1568.699951171875,1413.0,1433.4000244140625,15801
2011-06-01,1502.300048828125,1558.5,1490.699951171875,1535.699951171875,15027
2011-07-01,1628.300048828125,1634.9000244140625,1480.0,1502.199951171875,309932
2011-08-01,1828.5,1909.300048828125,1607.0,1623.0,25647
2011-09-01,1620.4000244140625,1911.5999755859375,1562.4000244140625,1825.800048828125,31848
2011-10-01,1724.199951171875,1752.0,1596.5999755859375,1627.800048828125,2715
2011-11-01,1745.5,1798.4000244140625,1674.4000244140625,1706.699951171875,257009
2011-12-01,1565.800048828125,1762.9000244140625,1525.0,1747.0,11311
2012-02-01,1709.9000244140625,1790.4000244140625,1669.0,1738.199951171875,9587
2012-03-01,1669.300048828125,1724.5999755859375,1633.800048828125,1698.5999755859375,254540
2012-05-01,1562.5999755859375,1670.5,1528.5,1665.0,345507
2012-06-01,1603.5,1639.699951171875,1545.5,1560.0,11162
2012-08-01,1684.5999755859375,1690.0,1583.0999755859375,1613.4000244140625,11783
2012-09-01,1771.0999755859375,1785.300048828125,1687.699951171875,1689.0999755859375,25557
2012-10-01,1717.5,1794.800048828125,1698.5999755859375,1766.0,2741
2012-11-01,1710.9000244140625,1751.300048828125,1674.0999755859375,1722.300048828125,345777
2012-12-01,1674.800048828125,1722.300048828125,1635.800048828125,1714.9000244140625,7061
2013-01-01,1660.5999755859375,1694.699951171875,1625.699951171875,1672.800048828125,197723
2013-02-01,1577.699951171875,1683.4000244140625,1555.199951171875,1663.9000244140625,11784
2013-03-01,1594.800048828125,1613.800048828125,1561.800048828125,1579.5999755859375,223847
2013-04-01,1472.199951171875,1602.5999755859375,1323.0,1596.800048828125,14648
2013-05-01,1392.5999755859375,1487.0999755859375,1342.9000244140625,1475.800048828125,222108
2013-06-01,1223.800048828125,1422.699951171875,1183.199951171875,1389.0999755859375,12739
2013-07-01,1312.4000244140625,1343.5,1208.9000244140625,1234.699951171875,186170
2013-08-01,1396.0999755859375,1428.0,1274.0,1323.0,10507
2013-10-01,1323.5999755859375,1359.699951171875,1254.0999755859375,1328.0,2723
2013-11-01,1250.5999755859375,1325.699951171875,1229.0,1325.699951171875,270667
2014-01-01,1240.0999755859375,1269.4000244140625,1204.300048828125,1204.300048828125,189701
2014-02-01,1321.4000244140625,1343.9000244140625,1241.199951171875,1242.4000244140625,11943
2014-03-01,1283.4000244140625,1391.4000244140625,1282.4000244140625,1335.9000244140625,255794
2014-04-01,1295.5999755859375,1330.0,1272.4000244140625,1285.0999755859375,8265
2014-05-01,1245.5999755859375,1314.199951171875,1241.800048828125,1288.699951171875,211143
2014-07-01,1281.300048828125,1343.699951171875,1280.5999755859375,1326.699951171875,224607
2014-08-01,1285.800048828125,1321.4000244140625,1272.0,1284.0999755859375,9633
2014-09-01,1210.5,1286.4000244140625,1204.0,1284.5,27705
2014-10-01,1171.0999755859375,1251.0,1161.4000244140625,1207.699951171875,4510
2014-11-01,1175.199951171875,1202.4000244140625,1133.0,1166.4000244140625,299410
2014-12-01,1183.9000244140625,1238.0,1141.699951171875,1160.0,11140
2015-01-01,1278.5,1303.5,1169.5,1184.0,258615
2015-04-01,1182.4000244140625,1224.199951171875,1174.5999755859375,1182.9000244140625,7838
2015-05-01,1189.4000244140625,1228.0999755859375,1170.0,1178.0999755859375,258123
2015-06-01,1171.5,1204.0,1164.0,1190.5999755859375,6252
2015-07-01,1094.9000244140625,1173.0999755859375,1078.5999755859375,1173.0999755859375,216892
2015-08-01,1131.5999755859375,1169.0,1080.5,1095.5,13251
2015-09-01,1115.5,1155.9000244140625,1098.199951171875,1133.5,9119
2015-10-01,1141.5,1189.0,1105.800048828125,1115.199951171875,4321
2015-12-01,1060.300048828125,1098.800048828125,1046.199951171875,1064.5999755859375,10149
2016-01-01,1116.4000244140625,1125.699951171875,1063.199951171875,1063.4000244140625,229558
2016-02-01,1233.9000244140625,1260.800048828125,1115.300048828125,1116.699951171875,13930
2016-03-01,1234.199951171875,1280.699951171875,1210.0,1240.5,244751
2016-04-01,1289.199951171875,1295.5,1209.199951171875,1232.300048828125,9954
2016-06-01,1318.4000244140625,1355.5999755859375,1205.4000244140625,1215.699951171875,13380
2016-07-01,1349.0,1374.9000244140625,1312.800048828125,1324.5,281653
2016-08-01,1306.9000244140625,1366.0,1306.300048828125,1348.800048828125,11854
2016-09-01,1313.300048828125,1350.5,1301.5,1305.300048828125,18630
2016-10-01,1271.5,1316.800048828125,1248.9000244140625,1313.5,5775
2016-11-01,1170.800048828125,1318.5999755859375,1167.9000244140625,1279.300048828125,242622
2016-12-01,1150.0,1186.699951171875,1123.9000244140625,1172.699951171875,9972
2017-02-01,1252.5999755859375,1263.0999755859375,1197.9000244140625,1211.9000244140625,11087
2017-03-01,1247.300048828125,1257.699951171875,1196.199951171875,1247.800048828125,251026
2017-04-01,1266.0999755859375,1294.800048828125,1243.0,1247.5,9065
2017-05-01,1272.0,1273.199951171875,1214.0,1268.699951171875,404733
2017-06-01,1240.699951171875,1295.199951171875,1238.0999755859375,1268.0,8948
2017-07-01,1266.5999755859375,1270.800048828125,1208.5999755859375,1236.0,292633
2017-08-01,1316.199951171875,1323.800048828125,1251.4000244140625,1268.4000244140625,10098
2017-09-01,1281.5,1355.800048828125,1277.0,1320.199951171875,26808
2017-11-01,1273.199951171875,1296.199951171875,1265.300048828125,1272.199951171875,326214
2017-12-01,1306.300048828125,1306.300048828125,1236.5,1274.0999755859375,7596
2018-01-01,1339.0,1362.4000244140625,1302.300048828125,1302.300048828125,338322
2018-02-01,1315.5,1361.4000244140625,1307.0,1343.800048828125,10243
2018-03-01,1322.800048828125,1354.4000244140625,1301.800048828125,1310.4000244140625,356297
2018-05-01,1300.0999755859375,1320.800048828125,1285.199951171875,1313.199951171875,441893
2018-06-01,1251.300048828125,1307.699951171875,1244.800048828125,1298.5999755859375,5166
2018-08-01,1200.300048828125,1223.699951171875,1161.4000244140625,1222.9000244140625,5996
2018-09-01,1191.5,1206.199951171875,1180.0,1193.800048828125,23406
2018-10-01,1212.300048828125,1238.5999755859375,1183.699951171875,1191.5999755859375,4126
2018-11-01,1220.199951171875,1236.0,1196.300048828125,1215.4000244140625,304805
2018-12-01,1278.300048828125,1281.300048828125,1221.300048828125,1222.5,4402
2019-01-01,1319.699951171875,1325.4000244140625,1275.300048828125,1286.0,270998
2019-02-01,1312.800048828125,1344.0,1301.5999755859375,1320.300048828125,7989
2019-03-01,1293.0,1322.9000244140625,1281.0,1312.199951171875,295700
2019-04-01,1282.800048828125,1309.0999755859375,1266.0,1291.800048828125,6961
2019-05-01,1305.800048828125,1306.4000244140625,1266.5999755859375,1278.699951171875,248448
2019-06-01,1409.699951171875,1433.300048828125,1307.0,1307.0,6517
2019-07-01,1426.0999755859375,1444.199951171875,1382.800048828125,1386.5999755859375,302051
2019-08-01,1519.0999755859375,1549.300048828125,1400.9000244140625,1411.300048828125,17142
2019-10-01,1511.4000244140625,1518.199951171875,1458.300048828125,1468.699951171875,5233
2019-11-01,1465.5999755859375,1511.5999755859375,1447.0999755859375,1511.0,443701
2020-01-01,1582.9000244140625,1604.199951171875,1518.0,1518.0999755859375,316262
2020-02-01,1564.0999755859375,1686.5999755859375,1547.699951171875,1592.9000244140625,9617
2020-04-01,1684.199951171875,1775.0,1570.0,1570.0,14324
2020-05-01,1736.9000244140625,1770.5,1670.5,1686.5999755859375,168568
2020-06-01,1793.0,1793.199951171875,1668.5999755859375,1740.4000244140625,16436
2020-07-01,1962.800048828125,1981.0999755859375,1765.800048828125,1793.5999755859375,246967
2020-08-01,1967.5999755859375,2063.0,1871.5999755859375,1984.300048828125,11710
2020-09-01,1887.5,1986.300048828125,1851.5,1961.699951171875,17781
2020-10-01,1877.4000244140625,1929.0999755859375,1858.800048828125,1884.0999755859375,9613
2020-12-01,1893.0999755859375,1908.0,1774.9000244140625,1775.0,12142
2021-01-01,1847.300048828125,1959.9000244140625,1802.0,1912.199951171875,225930
2021-02-01,1728.0999755859375,1871.9000244140625,1718.800048828125,1866.5999755859375,16813
2021-03-01,1713.800048828125,1750.300048828125,1673.699951171875,1737.0999755859375,167914
2021-04-01,1767.300048828125,1794.5,1706.4000244140625,1706.800048828125,11366
2021-05-01,1902.5,1905.4000244140625,1774.800048828125,1788.5,210133
2021-06-01,1770.800048828125,1916.199951171875,1752.0999755859375,1905.0999755859375,8466
2021-07-01,1812.5999755859375,1833.0,1768.800048828125,1775.699951171875,245814
2021-09-01,1755.300048828125,1833.9000244140625,1721.4000244140625,1813.5,28543
2021-10-01,1783.0,1809.0,1744.699951171875,1754.300048828125,8208
2021-11-01,1773.5999755859375,1869.699951171875,1761.800048828125,1787.5,221936
2021-12-01,1827.5,1827.800048828125,1753.9000244140625,1774.800048828125,10803
2022-01-01,1795.0,1852.699951171875,1778.800048828125,1830.0999755859375,232014
2022-02-01,1899.4000244140625,1972.5,1787.9000244140625,1797.199951171875,9510
2022-03-01,1949.199951171875,2072.0,1893.5,1908.300048828125,157864
2022-04-01,1909.300048828125,1997.0999755859375,1872.9000244140625,1935.0,7725
2022-06-01,1804.0999755859375,1875.5999755859375,1801.0,1831.0,7851
2022-07-01,1762.9000244140625,1806.0999755859375,1679.800048828125,1795.5,194989
2022-08-01,1712.800048828125,1804.9000244140625,1708.5,1763.9000244140625,11161
2022-09-01,1662.4000244140625,1728.0999755859375,1620.4000244140625,1707.9000244140625,41586
2022-10-01,1635.9000244140625,1728.0,1622.800048828125,1667.199951171875,8817
2022-11-01,1746.0,1778.9000244140625,1615.0999755859375,1630.800048828125,161813
2022-12-01,1819.699951171875,1826.300048828125,1764.300048828125,1768.699951171875,9347
2023-02-01,1828.9000244140625,1959.0999755859375,1808.0999755859375,1927.199951171875,10398
2023-03-01,1969.0,2003.9000244140625,1811.5,1827.0999755859375,104261
2023-04-01,1990.0999755859375,2048.60009765625,1950.0,1968.0999755859375,7282
2023-05-01,1963.9000244140625,2072.0,1931.0,1980.0999755859375,215367
2023-06-01,1921.0999755859375,1983.0,1892.5,1963.199951171875,6383
2023-07-01,1970.5,1978.4000244140625,1903.199951171875,1917.9000244140625,220474
2023-08-01,1938.199951171875,1965.4000244140625,1884.0,1964.9000244140625,9086
2023-09-01,1848.0999755859375,1950.0,1846.0,1950.0,19996
2023-11-01,2038.0999755859375,2052.10009765625,1932.5999755859375,1990.5,199965
2023-12-01,2062.39990234375,2130.199951171875,1975.0,2038.300048828125,8723
